AAPL,MSFT,UNH,PG,DIS,TrendRatio,ExpectedReturn,Risk,Step,currentBest,Info
15,22,18,21,24,0.842404438259146237655272670963,50959.338825128419557586312294006348,60492.723578756784263532608747482300,1,139,Local Search add02/miner34
15,21,16,23,25,0.842481823034342713896194254630,51875.442896405904320999979972839355,61574.554462869717099238187074661255,1,139,Local Search add03/miner12
15,21,17,23,24,0.845097444067733571948508597416,51081.495218967131222598254680633545,60444.503267096624767873436212539673,1,139,Local Search add03/miner14
15,22,16,23,24,0.844673744540540449854404414509,50839.093020235617586877197027206421,60187.845720112323760986328125000000,1,139,Local Search add03/miner24
15,21,16,22,26,0.841277441353226684839228255441,52729.803663545739254914224147796631,62678.256983484367083292454481124878,1,139,Local Search add04/miner12
15,21,17,21,26,0.844125427905034531050887380843,52789.636378737552149686962366104126,62537.668732183330575935542583465576,1,139,Local Search add04/miner13
15,22,16,21,26,0.843257706054643452198149589094,52547.234180006038513965904712677002,62314.561494918561947997659444808960,1,139,Local Search add04/miner23
13,23,18,21,25,0.842569882600051056620316103363,51863.112802778647164814174175262451,61553.485204973672807682305574417114,1,139,Local Search add12/miner03
13,23,18,22,24,0.842487405380170750746060548408,51009.332410148039343766868114471436,60546.106783792427449952811002731323,1,139,Local Search add12/miner04
14,23,18,21,24,0.840882356737075564723227216746,50892.704282694074208848178386688232,60522.977887389592069666832685470581,1,139,Local Search add12/miner34
13,23,16,23,25,0.845514811220451134587960950739,51742.866997885823366232216358184814,61196.878293826717708725482225418091,1,139,Local Search add13/miner02
13,23,17,23,24,0.845964423358370076755363697885,50948.919320447050267830491065979004,60225.841552752761344891041517257690,1,139,Local Search add13/miner04
14,23,16,23,24,0.845785582093610988074772194523,50772.458477801286790054291486740112,60029.940865298201970290392637252808,1,139,Local Search add13/miner24
13,23,16,22,26,0.843866543460333407011830786359,52597.227765025672852061688899993896,62328.845920762643800117075443267822,1,139,Local Search add14/miner02
13,23,17,21,26,0.844274446151561330786705639184,52657.060480217478470876812934875488,62369.601164932879328262060880661011,1,139,Local Search add14/miner03
14,23,16,21,26,0.843959316008713211765268624731,52480.599637571722269058227539062500,62183.802752205061551649123430252075,1,139,Local Search add14/miner23
13,21,18,23,25,0.845469320628973175502096637501,52228.364581697387620806694030761719,61774.405418806854868307709693908691,1,139,Local Search add23/miner01
13,22,18,23,24,0.844451697571567905242773122154,51192.014705527086334768682718276978,60621.601984746470407117158174514771,1,139,Local Search add23/miner04
14,21,18,23,24,0.844691723356762902419347938121,51257.956061612851044628769159317017,60682.441468606179114431142807006836,1,139,Local Search add23/miner14
13,21,18,22,26,0.844309317633625266985575308354,53082.725348837208002805709838867188,62871.182681737998791504651308059692,1,139,Local Search add24/miner01
13,22,18,21,26,0.843339788262132183938035723259,52900.155865297507261857390403747559,62726.977431372826686128973960876465,1,139,Local Search add24/miner03
14,21,18,21,26,0.843888166425772245915482017153,52966.097221383279247675091028213501,62764.355904784613812807947397232056,1,139,Local Search add24/miner13
13,21,17,23,26,0.843385105929795431123352500435,53022.312259136211650911718606948853,62868.447505580996221397072076797485,1,139,Local Search add34/miner01
13,22,16,23,26,0.842007872278795588272259919904,52779.910060404712567105889320373535,62683.392635703123232815414667129517,1,139,Local Search add34/miner02
14,21,16,23,26,0.840135278371358928950485278619,52845.851416490499104838818311691284,62901.597846164280781522393226623535,1,139,Local Search add34/miner12
